Tidsstempel,Uuid,First name,Last name,Birthday,Gender,Country,Are you willing to be a team leader on your team?,Would you consider yourself a creative thinker?,Do you consider yourself knowledgable about the Bible?,"Are you physically fit and able to play in outdoor activities like outdoor games, obstacle courses, running, sport etc.?","Can you play the guitar, piano or keyboard well?",Have you been in a Christian camp before?,"Are you willing to take a speaking role in the Biblical drama? (Ex. main role, supporting role, narrator etc.)",Will you be able to create and design costumes and props for the drama?,"Are you entitled to be in the team with someone, please write their full name - Example kids needs to be with the parent/guardian or new camper wants to be with someone they know. Leave blank for no.","Please list the full names of people who should not be on your team (e.g., spouse, siblings, best friends, people I see (almost) every day). This will help us create teams that encourage meeting new people, fostering new connections, and promoting teamwork with a more diverse group. Being on a team with familiar faces can limit these opportunities."
2016-03-21 02:49:37,3eb13b90-4668-4257-bdd6-40fb06671ad1,Jeffrey,Doyle,1999-03-06,Male,Uganda,No,Maybe,Yes,No,No,Yes,No,No,,
2013-10-31 16:11:31,07a0ca6e-0822-48f3-ac03-1199972a8469,Clayton,Hall,1993-02-15,Female,Monaco,No,Maybe,Yes,No,No,Yes,Yes,Yes,,
2005-01-16 04:15:36,6b65a6a4-8b81-48f6-b38a-088ca65ed389,Jeffrey,Lawrence,2009-12-05,Male,Albania,No,No,No,No,No,No,No,No,,
2019-04-01 03:31:19,571aa876-6c30-4511-b2b9-437a28df6ec4,Joshua,Lewis,2006-03-16,Female,Bosnia and Herzegovina,"Yes, I am willing to be a team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2002-05-09 06:22:07,580d7b71-d8f5-4413-9be6-128e18c26797,Cassandra,Roman,2003-06-22,Female,Mauritania,"No, but I can co-lead and help the team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2003-03-02 11:32:31,8d5288f1-142c-4fe8-a0e7-a113ec1b8ca1,Kelly,Fuller,2016-02-01,Female,Guyana,No,Maybe,Yes,Yes,Yes,Yes,No,No,,
2014-08-24 00:18:24,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Jeremy,Roberts,1950-10-29,Female,Djibouti,No,No,No,No,No,No,No,No,,
2021-12-23 17:43:51,a2bc372f-7412-4293-8729-4739614ff3d7,Mary,Martin,1973-02-20,Female,Paraguay,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,
2006-10-09 11:28:12,12476f57-a5e5-45ab-aefc-fad8efc89849,Chelsea,Jackson,2003-06-04,Male,Central African Republic,"No, but I can co-lead and help the team leader",Maybe,Yes,Yes,No,Yes,Yes,Yes,,
2011-09-22 17:12:19,a3d70628-ece6-4fa2-bd51-66e6451b4cf3,Hailey,Robinson,1970-08-18,Female,Seychelles,"No, but I can co-lead and help the team leader",Maybe,Maybe,No,No,Yes,No,No,,
2019-09-07 10:20:43,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Leslie,Adams,1961-06-14,Female,Western Sahara,"No, but I can co-lead and help the team leader",Yes,Maybe,Yes,No,Yes,Yes,Yes,,
2014-05-21 18:30:19,a7cad415-366e-416f-908e-bad7b7c93acf,Victor,Wilkerson,1996-06-07,Female,Cambodia,No,Maybe,Yes,Yes,No,Yes,Yes,No,,
2006-09-20 01:02:55,89fa6a68-8fb5-427b-beb7-99193f22faf8,Jose,Richards,2017-02-01,Male,Iran,No,Maybe,Maybe,Maybe,No,Yes,Yes,No,,
