Tidsstempel,Uuid,First name,Last name,Birthday,Gender,Country,Are you willing to be a team leader on your team?,Would you consider yourself a creative thinker?,Do you consider yourself knowledgable about the Bible?,"Are you physically fit and able to play in outdoor activities like outdoor games, obstacle courses, running, sport etc.?","Can you play the guitar, piano or keyboard well?",Have you been in a Christian camp before?,"Are you willing to take a speaking role in the Biblical drama? (Ex. main role, supporting role, narrator etc.)",Will you be able to create and design costumes and props for the drama?,"Are you entitled to be in the team with someone, please write their full name - Example kids needs to be with the parent/guardian or new camper wants to be with someone they know. Leave blank for no.","Please list the full names of people who should not be on your team (e.g., spouse, siblings, best friends, people I see (almost) every day). This will help us create teams that encourage meeting new people, fostering new connections, and promoting teamwork with a more diverse group. Being on a team with familiar faces can limit these opportunities."
2016-03-21 17:28:52,3eb13b90-4668-4257-bdd6-40fb06671ad1,Jeffrey,Doyle,1999-03-07,Female,Uganda,No,Maybe,Yes,No,No,Yes,No,No,,
2013-11-01 04:41:26,07a0ca6e-0822-48f3-ac03-1199972a8469,Clayton,Hall,1993-02-16,Female,Monaco,No,Maybe,Yes,No,No,Yes,Yes,Yes,,
2005-01-16 08:49:01,6b65a6a4-8b81-48f6-b38a-088ca65ed389,Jeffrey,Lawrence,2009-12-06,Male,Albania,No,No,No,No,No,No,No,No,,
2019-04-01 20:54:43,571aa876-6c30-4511-b2b9-437a28df6ec4,Joshua,Lewis,2006-03-17,Male,Bosnia and Herzegovina,"Yes, I am willing to be a team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2002-05-09 08:29:39,580d7b71-d8f5-4413-9be6-128e18c26797,Cassandra,Roman,2003-06-23,Female,Mauritania,"No, but I can co-lead and help the team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2003-03-02 14:24:10,8d5288f1-142c-4fe8-a0e7-a113ec1b8ca1,Kelly,Fuller,2016-02-02,Male,Guyana,No,Maybe,Yes,Yes,Yes,Yes,No,No,,
2014-08-24 13:32:18,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Jeremy,Roberts,1950-10-30,Female,Djibouti,No,No,No,No,No,No,No,No,,
2021-12-24 13:35:19,a2bc372f-7412-4293-8729-4739614ff3d7,Mary,Martin,1973-02-21,Female,Paraguay,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,
2006-10-09 17:35:18,12476f57-a5e5-45ab-aefc-fad8efc89849,Chelsea,Jackson,2003-06-05,Female,Central African Republic,"No, but I can co-lead and help the team leader",Maybe,Yes,Yes,No,Yes,Yes,Yes,,
2011-09-23 03:47:57,a3d70628-ece6-4fa2-bd51-66e6451b4cf3,Hailey,Robinson,1970-08-19,Male,Seychelles,"No, but I can co-lead and help the team leader",Maybe,Maybe,No,No,Yes,No,No,,
2019-09-08 04:07:46,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Leslie,Adams,1961-06-15,Male,Western Sahara,"No, but I can co-lead and help the team leader",Yes,Maybe,Yes,No,Yes,Yes,Yes,,
2014-05-22 07:30:14,a7cad415-366e-416f-908e-bad7b7c93acf,Victor,Wilkerson,1996-06-08,Female,Cambodia,No,Maybe,Yes,Yes,No,Yes,Yes,No,,
2006-09-20 07:07:09,89fa6a68-8fb5-427b-beb7-99193f22faf8,Jose,Richards,2017-02-02,Male,Iran,No,Maybe,Maybe,Maybe,No,Yes,Yes,No,,
2009-03-08 03:29:43,827050a8-2369-4584-bf5e-9ff0ff50bde4,Trevor,Campos,2014-02-11,Female,Cape Verde,No,No,No,No,No,Yes,Maybe,No,,
2015-12-01 17:14:34,98ae4334-6c12-4ce8-ae34-0454cac5b68c,Bryan,James,2025-01-19,Male,Marshall Islands,No,No,Yes,Maybe,No,Yes,Maybe,No,,
2006-05-18 12:35:14,02f06b90-f143-462f-9c5c-0eed8da0365b,Erin,Wilson,2016-01-13,Female,Sao Tome and Principe,"No, but I can co-lead and help the team leader",Maybe,No,No,Yes,Yes,No,No,,
2006-10-08 07:38:48,4b22d308-1c8e-4ee9-9715-bd6fa4161293,Ryan,Chavez,2021-08-16,Male,Turkey,No,Maybe,Maybe,No,No,Yes,Yes,No,,
2018-04-04 08:03:16,2dbc2134-c30f-446e-8026-695ff8cda88b,William,Rodriguez,1995-01-06,Male,Tajikistan,No,Maybe,Maybe,No,No,Yes,Yes,No,,
2016-03-17 07:20:24,5fb8d16c-2720-497d-b2eb-d6899be578c7,Kathryn,Ryan,2007-06-08,Female,Marshall Islands,No,Maybe,Maybe,Yes,No,Yes,Yes,Yes,,
2023-04-20 11:21:04,04fc6d82-7d15-4385-92fb-e43b99546eb4,Daniel,Cox,2024-03-05,Male,Sri Lanka,"No, but I can co-lead and help the team leader",Yes,Yes,Yes,No,Yes,Yes,Yes,,
2007-10-20 07:54:32,913e4de2-e0c5-4cb8-bda9-c2a90ed42f1a,Stacey,Miller,1983-09-25,Male,Bangladesh,"No, but I can co-lead and help the team leader",Maybe,Maybe,Yes,No,Yes,Maybe,Yes,,
2024-10-22 16:45:01,20de435d-2031-4750-840d-b9b4885f6e66,Donna,Arroyo,1957-09-28,Female,Marshall Islands,No,Yes,Maybe,Yes,No,Yes,Maybe,Yes,,
2022-02-17 16:35:22,edcd465e-3638-4821-b6e0-7cc06c52c49f,Amber,Blair,1960-08-29,Male,Georgia,No,Yes,Maybe,Yes,No,Yes,Maybe,No,,
2010-02-13 22:30:13,702753a1-5f98-4c71-a65e-688eabf3ad39,Rachel,Hayes,1964-06-12,Female,Bahrain,"No, but I can co-lead and help the team leader",Maybe,Maybe,Yes,No,Yes,Yes,Yes,,
2008-07-29 14:16:39,96a402f2-3ae8-4c93-8dcd-cd03969b6662,Jeffrey,Jones,1995-06-27,Female,Denmark,No,Maybe,Maybe,No,No,No,No,No,,
2001-09-16 12:14:52,1223b513-5496-463c-9c11-10c1080aadfb,Willie,Ramirez,1983-09-07,Female,Mauritius,No,Yes,Maybe,Maybe,No,Yes,No,Yes,,
2003-05-10 23:02:35,93829b43-922f-415a-a1e3-db63ef7ddc76,Thomas,Mueller,2009-10-09,Female,Comoros,"No, but I can co-lead and help the team leader",Maybe,Yes,Yes,No,Yes,Yes,No,,
2002-05-23 23:50:19,6c6fa611-5ab3-4edf-ae59-5ed3a8b317fa,Robert,Shields,1948-10-02,Female,Palau,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,
2024-12-18 23:11:47,ba6c34ab-6712-403a-8f84-4fef1931e9ee,Matthew,Hensley,1964-07-04,Female,Comoros,"Yes, I am willing to be a team leader",Yes,Maybe,No,Yes,Yes,Yes,Yes,,
2013-08-09 01:20:19,474ebc19-2ef9-4276-ac00-6f6123e2fcb4,Steven,Baxter,1950-06-22,Female,Sri Lanka,No,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,,
2021-11-06 23:46:58,a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Yvette,Huff,2022-11-08,Male,Vanuatu,"No, but I can co-lead and help the team leader",Maybe,Yes,Yes,Yes,Yes,Yes,Yes,,
2019-02-12 07:14:42,7c52fa17-680a-407a-aa93-5d623c835dc0,Timothy,Hancock,2017-06-18,Male,Chad,"No, but I can co-lead and help the team leader",Maybe,Yes,Yes,Yes,Yes,Yes,Yes,,
2009-08-12 10:42:31,ed3049cf-43e4-48fc-a3f2-ae24fc3d3348,Kristen,Gibson,1978-08-18,Male,Saint Martin,"Yes, I am willing to be a team leader",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
2025-04-02 06:35:41,7c967f79-b7e9-4aca-a970-65e18e46d534,Eric,Phillips,2022-10-31,Male,Mozambique,"No, but I can co-lead and help the team leader",Yes,No,Yes,No,No,No,No,,
2018-08-31 02:38:41,0ea2622b-5048-47ba-bf7b-539b0f9aea4b,Brendan,Woods,2018-11-02,Male,Marshall Islands,"No, but I can co-lead and help the team leader",Yes,Maybe,Maybe,No,No,Yes,Yes,,
2003-12-29 17:20:09,d9f195d0-1482-4f53-8201-0c62f5f59b22,Jacob,Larson,1999-01-22,Male,Dominica,"No, but I can co-lead and help the team leader",Maybe,Yes,Yes,No,Yes,Yes,Yes,,
2010-03-30 06:11:10,3f07f814-91d6-4f78-a3e9-de99f10c718b,Beth,Williams,1951-01-03,Female,Palestinian Territory,"No, but I can co-lead and help the team leader",Yes,Yes,Yes,No,Yes,Yes,Yes,,
2014-10-22 02:59:23,42c18a62-ef48-48d5-90fd-9d3f85d51695,James,Moran,1963-09-13,Male,Indonesia,No,Yes,Maybe,Yes,No,Yes,Yes,Yes,,
2003-04-27 16:15:06,50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Sarah,Walls,1945-02-13,Female,Nigeria,"Yes, I am willing to be a team leader",Yes,Yes,Yes,No,Yes,Yes,Yes,,
2025-04-30 08:47:06,89a2688b-12c1-46e0-9998-5f15ff002d4d,Jason,Baker,2019-12-17,Female,Turkmenistan,No,Maybe,Maybe,No,No,No,No,No,,
2001-09-29 09:34:13,286218b8-48f4-4f12-9e99-53d23e896c64,Samuel,Daniels,1968-11-13,Male,Sri Lanka,"Yes, I am willing to be a team leader",Yes,Maybe,Yes,No,Yes,Yes,Yes,,
2016-08-03 12:57:08,8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,Kevin,Alvarado,2020-06-02,Female,Burkina Faso,No,Yes,No,Yes,No,Yes,Maybe,Yes,,
2006-09-16 11:00:03,8da01097-be0f-451b-9b66-b5a9e3c43657,Eric,Campbell,1961-06-05,Male,Guam,"No, but I can co-lead and help the team leader",Maybe,Maybe,Yes,No,Yes,Maybe,Yes,,
2005-03-01 11:15:13,81627cf1-4394-42e6-9a58-7e8aa25d6b29,Tracy,Whitehead,2012-11-24,Male,Bermuda,"No, but I can co-lead and help the team leader",No,Maybe,Yes,No,Yes,Maybe,No,,
2016-02-03 01:56:36,00e85ece-0b49-452d-86d4-83f3d450281c,Matthew,Anderson,2023-09-24,Female,Central African Republic,"No, but I can co-lead and help the team leader",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
2018-10-21 00:19:15,8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,Alec,Jones,2015-11-24,Female,United Kingdom,"Yes, I am willing to be a team leader",Yes,Yes,Maybe,Yes,Yes,No,Yes,,
2003-10-13 02:10:02,951f58d0-5e84-4058-95a8-04eb093923de,Angela,Jordan,1947-10-03,Female,Haiti,No,Maybe,No,Yes,No,Yes,No,No,,
2022-10-21 16:20:24,0a368ce7-dc57-4131-b8e1-daa7cbceabde,Rachel,Clark,1964-07-30,Male,Bosnia and Herzegovina,"No, but I can co-lead and help the team leader",Yes,Yes,Yes,No,Yes,Yes,Yes,,
2008-12-21 01:48:36,6808593f-dfed-4c43-a256-a6dc8f5486b7,Terri,Brady,2019-05-09,Female,Dominica,"No, but I can co-lead and help the team leader",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
2021-12-07 03:58:20,2d534dd0-cf8e-4c5a-8cc5-6569f9e8a369,Nicole,Johnson,2004-01-11,Female,Grenada,"Yes, I am willing to be a team leader",Yes,Yes,Yes,No,Yes,Yes,Yes,,
2019-11-06 08:21:21,dd334cc7-ab7f-489a-8d5f-4822696608aa,Jill,Wright,1957-04-05,Male,Reunion,No,Yes,Maybe,Yes,No,Yes,Yes,Yes,,
2002-09-28 13:55:30,787f2425-dbcc-4477-89e9-db0adf465290,Jeffrey,Velasquez,1981-08-26,Female,Gambia,"No, but I can co-lead and help the team leader",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
2020-10-24 19:59:34,060edf5b-3911-4497-ba43-b2badf0f06cb,Donna,Ross,1966-12-07,Female,Bangladesh,"No, but I can co-lead and help the team leader",Maybe,Maybe,Yes,No,No,Maybe,Yes,,
2024-07-11 21:23:47,8268690b-a438-45b5-99e4-b6714774bc58,Ricardo,Zavala,1987-10-19,Male,Wallis and Futuna,No,Maybe,No,Yes,No,Yes,Maybe,Yes,,
2000-09-12 17:42:35,2db69edb-42de-4fcc-b86c-2ca2e08596db,Beverly,Terrell,1947-06-19,Male,Nepal,No,Yes,No,Yes,No,No,No,No,,
2011-01-09 12:45:34,6fb78271-504d-481f-8953-5b63ba81edd9,Catherine,Dixon,1975-07-27,Male,Morocco,No,No,No,No,No,No,No,No,,
2004-10-27 05:02:56,006ed6e3-6fa1-4735-b572-f3d00b5cea6a,April,Drake,2000-01-01,Female,Wallis and Futuna,No,No,No,No,No,No,No,No,,
2018-10-27 16:14:50,6e6981a3-5d3d-4e56-b270-e4faabae4f43,Chad,Beck,1971-02-10,Female,Germany,No,Yes,No,Yes,No,No,No,No,,
2016-10-29 17:46:21,4ce1eb90-e669-4833-b841-d0a01fe771d6,William,Estrada,1970-10-15,Male,Qatar,"No, but I can co-lead and help the team leader",Yes,Yes,Yes,No,Yes,No,Yes,,
2007-07-02 10:45:48,aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,Shelby,Byrd,2017-06-29,Male,Nicaragua,"Yes, I am willing to be a team leader",Yes,Yes,Yes,No,Yes,Yes,No,,
2014-06-09 03:37:26,001a9a8b-d56f-4350-8c45-9ce267f48ad5,Kevin,Clark,2008-01-05,Male,New Caledonia,No,Yes,Yes,Yes,No,Yes,No,Yes,,
2016-08-10 07:07:57,acf5e81e-7131-4269-b118-e36477097749,Jason,Kennedy,2017-05-12,Female,South Africa,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,
2018-09-02 04:30:59,83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Elizabeth,Harvey,1951-12-06,Female,Zambia,No,No,No,Yes,No,Yes,No,No,,
2019-01-20 19:27:21,ce7ae7f6-3982-4cff-8f77-a665ac3c5640,James,Johnson,1964-03-13,Female,Lebanon,No,No,No,No,No,No,No,No,,
2015-07-04 20:57:18,6a18ce4c-7496-4764-92a4-def0c4bbb7a9,Olivia,Johnston,2002-07-21,Female,Hungary,No,Maybe,Yes,Yes,No,Yes,Maybe,No,,
2012-07-16 17:51:18,b00805cc-a7f3-4ae9-a5c7-3c443e75c3b4,Adam,Potter,2006-09-27,Male,Botswana,No,Yes,Yes,Yes,No,Yes,Yes,No,,
2019-09-30 14:23:27,f53d4330-cdda-44ba-ad06-e8cf3805f907,Heather,Marshall,1989-07-07,Female,United States Virgin Islands,"Yes, I am willing to be a team leader",Yes,Yes,Yes,No,Yes,Yes,Yes,,
2021-07-09 10:03:06,76f2dbfe-cd29-436f-a222-82e174daaebf,Elizabeth,Travis,1992-08-06,Female,Zambia,No,Yes,Maybe,Yes,No,Yes,Yes,No,,
2019-02-27 21:50:25,b8225688-d0a4-4432-9cd6-c852714c7df4,Patricia,Simmons,2017-10-27,Female,Kiribati,No,Yes,No,Yes,No,Yes,Maybe,No,,
2022-10-05 05:58:50,7337c599-7984-4388-9c8a-ee30be6033f7,Jonathon,Wright,1996-01-07,Male,Seychelles,No,Maybe,No,Yes,No,No,No,No,,
2019-09-23 16:35:35,464c04af-3d3f-4799-a072-95e97c0e8cd8,Scott,Reeves,1963-05-12,Female,Grenada,No,Maybe,Maybe,Yes,No,Yes,No,Yes,,
2008-02-10 07:53:19,269cd696-236c-4b87-94a0-bccb8a476a87,Jesse,Benson,2001-08-02,Female,Bahrain,No,Maybe,No,Yes,No,Yes,Yes,Yes,,
2010-07-11 00:51:46,6a702e2f-7746-40ba-8ae8-905b54b4a482,Bryan,Wall,1975-11-30,Male,Sierra Leone,No,Maybe,Yes,Maybe,No,Yes,Maybe,No,,
2014-10-25 21:31:29,e172b725-db52-4a58-8500-0bc6b20dcb6e,Kathy,James,1944-11-04,Female,Guinea,"No, but I can co-lead and help the team leader",No,No,Yes,No,No,Maybe,No,,
2007-07-29 20:25:51,f41402b1-e442-4ebb-9a7b-909563d62a39,Mary,Medina,2003-11-15,Female,South Georgia and the South Sandwich Islands,No,Yes,Yes,Yes,No,Yes,Maybe,Yes,,
